SA,10,0.95,training accuracy,41.791,training time,0.247,testing time,0.023
SA,10,0.95,testing accuracy,42.876,training time,0.247,testing time,0.010
SA,100,0.15,training accuracy,54.154,training time,2.127,testing time,0.016
SA,100,0.15,testing accuracy,53.775,training time,2.127,testing time,0.008
SA,100,0.25,training accuracy,41.172,training time,2.046,testing time,0.017
SA,100,0.25,testing accuracy,39.462,training time,2.046,testing time,0.008
SA,100,0.35,training accuracy,41.369,training time,2.266,testing time,0.016
SA,100,0.35,testing accuracy,42.613,training time,2.266,testing time,0.007
SA,100,0.45,training accuracy,66.150,training time,2.130,testing time,0.020
SA,100,0.45,testing accuracy,66.710,training time,2.130,testing time,0.009
SA,100,0.55,training accuracy,47.902,training time,2.107,testing time,0.017
SA,100,0.55,testing accuracy,47.275,training time,2.107,testing time,0.008
SA,100,0.65,training accuracy,48.859,training time,2.073,testing time,0.016
SA,100,0.65,testing accuracy,48.588,training time,2.073,testing time,0.007
SA,100,0.75,training accuracy,46.691,training time,2.004,testing time,0.017
SA,100,0.75,testing accuracy,46.750,training time,2.004,testing time,0.007
SA,100,0.85,training accuracy,39.426,training time,1.998,testing time,0.015
SA,100,0.85,testing accuracy,39.265,training time,1.998,testing time,0.006
SA,100,0.95,training accuracy,62.884,training time,2.001,testing time,0.017
SA,100,0.95,testing accuracy,63.362,training time,2.001,testing time,0.007
SA,500,0.15,training accuracy,86.398,training time,10.264,testing time,0.016
SA,500,0.15,testing accuracy,87.393,training time,10.264,testing time,0.007
SA,500,0.25,training accuracy,81.104,training time,10.243,testing time,0.017
SA,500,0.25,testing accuracy,81.747,training time,10.243,testing time,0.007
SA,500,0.35,training accuracy,82.174,training time,10.069,testing time,0.017
SA,500,0.35,testing accuracy,82.206,training time,10.069,testing time,0.007
SA,500,0.45,training accuracy,78.964,training time,10.084,testing time,0.017
SA,500,0.45,testing accuracy,80.236,training time,10.084,testing time,0.008
SA,500,0.55,training accuracy,79.217,training time,10.068,testing time,0.015
